% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar)
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.",Validación del programa social de escombros y microbasurales,10%,10%,20%,,11.42,11
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.",Difusión y coordinación con gestores territoriales ,10%,10%,30%,,11.43,11
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.",Recepción de solicitudes de cubicación para retiro de escombros por canales habilitados,10%,10%,40%,,11.44,11
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.",Realización de cubicaciones en terreno para retiro de escombros,5%,5%,45%,,11.45,11
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.",Cobros en terreno de cubicaciones realizadas,5%,5%,50%,,11.46,11
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.",Agendamiento de retiro de escombros y ejecución del servicio ,10%,10%,60%,,11.47,11
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.",Ejecución en su totalidad del programa que incluye 2 operativos de retiro de enseres o cachureos por unidad vecinal al año,10%,10%,70%,,11.48,11
86%,11. Medio Ambiente y cambio climático,83%,Nuevo plan de retiro de escombros y microbasurales,"Elaborar un nuevo plan de retiro de escombros y microbasurales que agilice la ejecución del servicio a los vecinos/as, permitiendo tener una comuna más limpia y sustentable.",70%,"Se realizan 2 operativos al año en cada los cuadrantes de la comuna para el retiro de residuos domiciliarios, además de operativos por solicitud de vecinos/as. Se realizan más de 140 operativos de retiro de residuos domiciliarios al año.","Digitalización del proceso de solicitud y pago de cubicaciones, entre lo que se incluye:
- Habilitación de mail para solicitudes de cubicación.
- Creación de link de acceso a solicitudes de servicio de aseo.
- Habilitación de pago online, o a través de máquinas de transacción portatil.
- Habilitación de sistema web de agendamiento de retiro",30%,0%,70%,,11.49,11
86%,11. Medio Ambiente y cambio climático,83%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,85%,Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. ,"Levantamiento de información respecto a reciclaje y educación ambiental, normativa, procedimientos. Elaboración de material educativo.",10%,10%,10%,1,11.50,11
86%,11. Medio Ambiente y cambio climático,83%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,85%,Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. ,"Coordinación con distintas entidades público privadas de educación, planificación de actividades de educación ambiental y de reciclaje",10%,10%,20%,,11.51,11
86%,11. Medio Ambiente y cambio climático,83%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,85%,Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. ,Capacitaciones y talleres sobre reciclaje y medioambiente en centros educacionales,20%,20%,40%,,11.52,11
86%,11. Medio Ambiente y cambio climático,83%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,85%,Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. ,Instalación de puntos verdes o acopio,10%,10%,50%,,11.53,11
86%,11. Medio Ambiente y cambio climático,83%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,85%,Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. ,"Coordinación con unidades vecinales, juntas de vecinos, comités ambientales, para desarrollar actividades y charlas sobre reciclaje, uso de puntos verdes y cuidado del medioambiente",20%,20%,70%,,11.54,11
86%,11. Medio Ambiente y cambio climático,83%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,85%,Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. ,Capacitaciones y acciones educacionales sobre reciclaje y medioambiente en los distintos territorios,10%,10%,80%,,11.55,11
86%,11. Medio Ambiente y cambio climático,83%,Generar política y/o plan educacional de reciclaje y protección del medioambiente,Desarrollar un plan de actividades de educación ambiental y de reciclaje en todos los territorios y en distintos centros educacionales de la comuna.,85%,Durante 2023 se realizaron más de 30 intervenciones educativas en los territorios enfocadas en el correcto uso de los puntos verdes. Se han realizado programas educativos sobre reciclaje y medioambiente en 6 centros educacionales. ,"Elaboración de plan, protocolo o ordenanza que incluya la educación ambiental y de reciclaje",20%,5%,85%,,11.56,11
86%,11. Medio Ambiente y cambio climático,83%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",60%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos y subvenciones. Además se presta apoyo técnico en la ejecución de esos proyectos. A la fecha, se han ejecutado xxx proyectos ambientales de organizaciones sociales.",Entrega de información a organizaciones sociales sobre los fondos concursables ambientales que existen (públicos y privados),10%,10%,10%,1,11.57,11
86%,11. Medio Ambiente y cambio climático,83%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",60%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos y subvenciones. Además se presta apoyo técnico en la ejecución de esos proyectos. A la fecha, se han ejecutado xxx proyectos ambientales de organizaciones sociales.",Entrega de asesoría técnica a organizaciones sociales para postular a los fondos concursables,15%,15%,25%,,11.58,11
86%,11. Medio Ambiente y cambio climático,83%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",60%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos y subvenciones. Además se presta apoyo técnico en la ejecución de esos proyectos. A la fecha, se han ejecutado xxx proyectos ambientales de organizaciones sociales.",Entrega de asesoría técnica a organizaciones sociales para solicitar subvención municipal,15%,15%,40%,,11.59,11
86%,11. Medio Ambiente y cambio climático,83%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",60%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos y subvenciones. Además se presta apoyo técnico en la ejecución de esos proyectos. A la fecha, se han ejecutado xxx proyectos ambientales de organizaciones sociales.","Seguimiento y apoyo a la ejecución de los proyectos ambientales impulsados por organizaciones sociales, que reciban financiamiento municipal",10%,10%,50%,,11.60,11
86%,11. Medio Ambiente y cambio climático,83%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",60%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos y subvenciones. Además se presta apoyo técnico en la ejecución de esos proyectos. A la fecha, se han ejecutado xxx proyectos ambientales de organizaciones sociales.","Orientación a organizaciones sociales y comités ambientales para que cumplan con requisitos de postulación a financiamiento (revisión de vigencia, formulación de proyectos, etc.)",10%,5%,55%,,11.61,11
86%,11. Medio Ambiente y cambio climático,83%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",60%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos y subvenciones. Además se presta apoyo técnico en la ejecución de esos proyectos. A la fecha, se han ejecutado xxx proyectos ambientales de organizaciones sociales.",Sistematización de los proyectos ambientales desarrollados con financiamiento municipal,10%,5%,60%,,11.62,11
86%,11. Medio Ambiente y cambio climático,83%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",60%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos y subvenciones. Además se presta apoyo técnico en la ejecución de esos proyectos. A la fecha, se han ejecutado xxx proyectos ambientales de organizaciones sociales.",Solicitud de recursos para generar un fondo concursable para proyectos ambientales impulsados por organizaciones sociales,10%,0%,60%,,11.63,11
86%,11. Medio Ambiente y cambio climático,83%,Incorporar recursos para el desarrollo de proyectos ambientales impulsados por organizaciones sociales,"Asesorar y apoyar a organizaciones sociales para que desarrollen proyectos ambientales en la comuna, mediante la postulación a vías de financiamiento.",60%,"Se apoya a organizaciones y comités ambientales para que accedan a financiamiento vía fondos y subvenciones. Además se presta apoyo técnico en la ejecución de esos proyectos. A la fecha, se han ejecutado xxx proyectos ambientales de organizaciones sociales.",Aprobación y generación de un fondo concursable para proyectos ambientales impulsados por organizaciones sociales,20%,0%,60%,,11.64,11
86%,11. Medio Ambiente y cambio climático,83%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.",Elaboración y actualización del Plan de sustentabilidad ambiental comunal,10%,10%,10%,1,11.65,11
86%,11. Medio Ambiente y cambio climático,83%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Desarrollo de iniciativas y proyectos que incluyan la incorporación de energías sustentables o renovables (red de movilidad, electrolinera y otras iniciativas)",25%,20%,30%,,11.66,11
86%,11. Medio Ambiente y cambio climático,83%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Definición del alcance de la política, planes y/o programas a elaborar y de sus objetivos",10%,7%,37%,,11.67,11
86%,11. Medio Ambiente y cambio climático,83%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Empalme de la política, planes y/o programas con el Plan de Desarrollo Comunal y con el Plan de Sustentabilidad actualmente vigente",10%,10%,47%,,11.68,11
86%,11. Medio Ambiente y cambio climático,83%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.",Revisar otras políticas y modelos de gestión vigentes en materia medioambiental,10%,5%,52%,,11.69,11
86%,11. Medio Ambiente y cambio climático,83%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Redacción de política, planes y/o programas ambientales",20%,10%,62%,,11.70,11
86%,11. Medio Ambiente y cambio climático,83%,"Generar politicas, planes y/o programas de energias sustentables o renovables","Elaborar un plan y/o política de desarrollo ambiental sustentable para la comuna, que oriente el desarrollo de proyectos en materia de energías sustentables o renovables.",73%,"Se cuenta con un Plan de sustentabilidad Ambiental, que orienta la ejecución de proyectos comunales en materia de energías sustentables, como la red de movilidad, electrolinera y otras iniciativas.","Aprobación por el Concejo Municipal de la política, planes y/o programas ambientales (aprobación anual y/o cuando se modifique el Plan de Desarrollo Comunal)",15%,11%,73%,,11.71,11
86%,12. Cuidado y protección animal,73%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de ,Gestión con agrupaciones animalistas para realizar traslado desde el canil municipal,10%,10%,10%,1,12.1,12
86%,12. Cuidado y protección animal,73%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de ,Elaboración y firma de convenio con organización Homeless Pets Chile,10%,10%,20%,,12.2,12
86%,12. Cuidado y protección animal,73%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de ,Traslado de 22 caninos a dependencias de organización Homeless Pets Chile,20%,20%,40%,,12.3,12
86%,12. Cuidado y protección animal,73%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de ,Tramitación para entregar subvención de alimentos,20%,20%,60%,,12.4,12
86%,12. Cuidado y protección animal,73%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de ,Desarme de los caniles municipales,10%,10%,70%,,12.5,12
86%,12. Cuidado y protección animal,73%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de ,"Gestión permanente de adopción de mascotas abandonadas, incluyendo el cuidado y la alimentación de las mascotas, difusión por redes sociales, coordinación con organizaciones animalistas y habitantes de la comuna.",30%,30%,100%,,12.6,12
86%,12. Cuidado y protección animal,73%,Colocación de chips a mascotas,"Implantar chips a animales de la comuna e inscribirlos en el registro nacional de mascotas, promoviendo la tenencia y el cuidado responsable de mascotas.",100%,"Se han implantado más de 1.000 chips, en diversos operativos y campañas de tenencia responsable de mascotas.",Compra de microchips,10%,10%,10%,1,12.7,12
86%,12. Cuidado y protección animal,73%,Colocación de chips a mascotas,"Implantar chips a animales de la comuna e inscribirlos en el registro nacional de mascotas, promoviendo la tenencia y el cuidado responsable de mascotas.",100%,"Se han implantado más de 1.000 chips, en diversos operativos y campañas de tenencia responsable de mascotas.","Coordinación de operativos veterinarios en el marco de los operativos  ""Gobierno en tu Barrio""",20%,20%,30%,,12.8,12
86%,12. Cuidado y protección animal,73%,Colocación de chips a mascotas,"Implantar chips a animales de la comuna e inscribirlos en el registro nacional de mascotas, promoviendo la tenencia y el cuidado responsable de mascotas.",100%,"Se han implantado más de 1.000 chips, en diversos operativos y campañas de tenencia responsable de mascotas.","Ejecución de los operativos en terreno y en la clínica, se realiza atención veterinaria e implantación de chip",30%,30%,60%,,12.9,12
86%,12. Cuidado y protección animal,73%,Colocación de chips a mascotas,"Implantar chips a animales de la comuna e inscribirlos en el registro nacional de mascotas, promoviendo la tenencia y el cuidado responsable de mascotas.",100%,"Se han implantado más de 1.000 chips, en diversos operativos y campañas de tenencia responsable de mascotas.",Ingreso de fichas de animales al registro nacional de mascotas,40%,40%,100%,,12.10,12
86%,12. Cuidado y protección animal,73%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado más de ","Aprobación de propuesta de ""Clínica Veterinaria Móvil"" en Concejo Municipal",10%,10%,10%,1,12.11,12
86%,12. Cuidado y protección animal,73%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado más de ","Formulación del proyecto ""Clínica Veterinaria Móvil""",30%,30%,40%,,12.12,12
86%,12. Cuidado y protección animal,73%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado más de ",Postulación a financiamiento externo del Gobierno Regional Metropolitano,20%,20%,60%,,12.13,12
86%,12. Cuidado y protección animal,73%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado más de ","Adjudicación del proyecto ""Clínica Veterinaria Móvil""",10%,10%,70%,,12.14,12
86%,12. Cuidado y protección animal,73%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado más de ",Contratación de personal para funcionamiento de la Veterinaria Móvil,10%,10%,80%,,12.15,12
86%,12. Cuidado y protección animal,73%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado más de ",Traspaso de clínica veterinaria móvil desde Gobierno Regional Metropolitano al Municipio,10%,10%,90%,,12.16,12
86%,12. Cuidado y protección animal,73%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado más de ",Funcionamiento en terreno de Clínica Veterinaria Móvil,10%,10%,100%,,12.17,12
86%,12. Cuidado y protección animal,73%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.","Formulación del programa ""Tenencia Responsable de Animales de Compañía"" y presentación a la Subsecretaría de Desarrollo Regional y Administrativo",20%,20%,20%,1,12.18,12
86%,12. Cuidado y protección animal,73%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.",Determinación del número de operativos y las sedes donde se realizarán,20%,20%,40%,,12.19,12
86%,12. Cuidado y protección animal,73%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.","Adjudicación del programa ""Tenencia Responsable de Animales de Compañía"" de la Subsecretaría de Desarrollo Regional y Administrativo",10%,10%,50%,,12.20,12
86%,12. Cuidado y protección animal,73%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.",Contratación del equipo de esterilizaciones,10%,10%,60%,,12.21,12
86%,12. Cuidado y protección animal,73%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.","Ejecución del programa ""Tenencia Responsable de Animales de Compañía""",30%,30%,90%,,12.22,12
86%,12. Cuidado y protección animal,73%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.","Esterilización más implantación de microchip para 1.000 animales, junto con brindar charlas sobre tenencia responsable",10%,10%,100%,,12.23,12
86%,12. Cuidado y protección animal,73%,Atención veterinaria 24 horas,"Construir, equipar y poner en marcha una nueva clínica veterinaria municipal, que brinde atención veterinaria las 24 horas.",30%,"Se cuenta con el terreno y financiamiento para el diseño del proyecto. El nuevo Centro de Salud para mascotas (CeSaVet) contará con 3 pisos, y fue anunciado al público en diciembre de 2023.",Obtención del terreno donde se construirá nueva clínica veterinaria municipal,15%,15%,15%,1,12.24,12
86%,12. Cuidado y protección animal,73%,Atención veterinaria 24 horas,"Construir, equipar y poner en marcha una nueva clínica veterinaria municipal, que brinde atención veterinaria las 24 horas.",30%,"Se cuenta con el terreno y financiamiento para el diseño del proyecto. El nuevo Centro de Salud para mascotas (CeSaVet) contará con 3 pisos, y fue anunciado al público en diciembre de 2023.",Obtención de financiamiento para el diseño de clínica veterinaria municipal,15%,15%,30%,,12.25,12
86%,12. Cuidado y protección animal,73%,Atención veterinaria 24 horas,"Construir, equipar y poner en marcha una nueva clínica veterinaria municipal, que brinde atención veterinaria las 24 horas.",30%,"Se cuenta con el terreno y financiamiento para el diseño del proyecto. El nuevo Centro de Salud para mascotas (CeSaVet) contará con 3 pisos, y fue anunciado al público en diciembre de 2023.",Obtención de financiamiento para la construcción de veterinaria municipal,15%,0%,30%,,12.26,12
86%,12. Cuidado y protección animal,73%,Atención veterinaria 24 horas,"Construir, equipar y poner en marcha una nueva clínica veterinaria municipal, que brinde atención veterinaria las 24 horas.",30%,"Se cuenta con el terreno y financiamiento para el diseño del proyecto. El nuevo Centro de Salud para mascotas (CeSaVet) contará con 3 pisos, y fue anunciado al público en diciembre de 2023.",Construcción de nueva clínica veterinaria municipal,15%,0%,30%,,12.27,12
86%,12. Cuidado y protección animal,73%,Atención veterinaria 24 horas,"Construir, equipar y poner en marcha una nueva clínica veterinaria municipal, que brinde atención veterinaria las 24 horas.",30%,"Se cuenta con el terreno y financiamiento para el diseño del proyecto. El nuevo Centro de Salud para mascotas (CeSaVet) contará con 3 pisos, y fue anunciado al público en diciembre de 2023.",Contratación de personal para el funcionamiento de la veterinaria municipal 24/7,10%,0%,30%,,12.28,12
86%,12. Cuidado y protección animal,73%,Atención veterinaria 24 horas,"Construir, equipar y poner en marcha una nueva clínica veterinaria municipal, que brinde atención veterinaria las 24 horas.",30%,"Se cuenta con el terreno y financiamiento para el diseño del proyecto. El nuevo Centro de Salud para mascotas (CeSaVet) contará con 3 pisos, y fue anunciado al público en diciembre de 2023.",Traslado de personal y recursos desde clínica actual a nueva,10%,0%,30%,,12.29,12
