% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,N° de iniciativas,N° >80%,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),>80% (no considerar)
20%,5. Inclusión y Discapacidad,26%,Campañas de información y formación inclusiva.,Pendiente,35%,Pendiente,Evaluación de las campañas de información y formación inclusiva,10%,0%,35%,109,1,,5.4,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,Levantar información sobre las condiciones de accesibilidad en todos los recintos municipales. ,10%,2%,2%,109,1,1,5.5,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,Definir mejoras prioritarias según normativa y requerimientos ciudadanos. ,5%,0%,2%,109,1,,5.6,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,Establecer un plan con soluciones para cada recinto.,10%,0%,2%,109,1,,5.7,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,"Gestionar reuniones con SENADIS, MINSAL, MINEDUC y otras entidades para validar el plan. ",10%,0%,2%,109,1,,5.8,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,Elaborar y postular proyectos específicos para la ejecución de mejoras en cada recinto municipal. ,20%,4%,6%,109,1,,5.9,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,Asignación de recursos,10%,1%,7%,109,1,,5.10,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,Publicación de BBAA para llevar a cabo la ejecución del (de los) proyecto(s),15%,0%,7%,109,1,,5.11,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,Adjudicación de la licitación para llevar a cabo el (los) proyectos,10%,0%,7%,109,1,,5.12,5,0
20%,5. Inclusión y Discapacidad,26%,Adecuar una infraestructura inclusiva en todos los recintos municipales.,Pendiente,7%,Pendiente,"Ejecución, implementación y recepción de proyectos priorizados de infraestructura inclusiva",10%,0%,7%,109,1,,5.13,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Identificación de alternativas de puntos de carga. Que se ajuste a normativa para uso proyectado,2%,2%,2%,109,1,1,5.14,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,"Definición de punto de carga, según disponibilidad de factibilidad de potencia",5%,5%,7%,109,1,,5.15,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Definir requerimientos técnicos de buses y solicitar cotizaciones de adquisición y arriendo de buses,10%,10%,17%,109,1,,5.16,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Preparar estudio de pre inversión del proyecto: análisis de oferta y demanda y evaluación social,15%,15%,32%,109,1,,5.17,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,"Elaboración de especificaciones técnicas, planimetría y presupuesto",5%,5%,37%,109,1,,5.18,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Ingreso de proyecto al Gobierno Regional ,2%,2%,39%,109,1,,5.19,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,"Proceso de obtención de admisibilidad: revisión, corrección observaciones, admisibilidad",20%,0%,39%,109,1,,5.20,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Asignación de recursos,20%,0%,39%,109,1,,5.21,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Tramitación administrativa de convenio y decretos,2%,0%,39%,109,1,,5.22,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Elaboración de Bases Administrativas y publicación de licitación,5%,0%,39%,109,1,,5.23,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Adjudicación de los buses,4%,0%,39%,109,1,,5.24,5,0
20%,5. Inclusión y Discapacidad,26%,Adquirir un bus municipal apto para personas con movilidad reducida.,Pendiente,39%,Pendiente,Entrega y operación de los buses,10%,0%,39%,109,1,,5.25,5,0
20%,5. Inclusión y Discapacidad,26%,Fomentar el deporte paralímpico y crear talleres deportivos inclusivos.,Pendiente,23%,Pendiente,Coordinar trabajo en conjunto con Oficina de la Discapacidad,10%,10%,10%,109,1,1,5.26,5,0
20%,5. Inclusión y Discapacidad,26%,Fomentar el deporte paralímpico y crear talleres deportivos inclusivos.,Pendiente,23%,Pendiente,Evaluar talleres deportivos inclusivos,20%,8%,18%,109,1,,5.27,5,0
20%,5. Inclusión y Discapacidad,26%,Fomentar el deporte paralímpico y crear talleres deportivos inclusivos.,Pendiente,23%,Pendiente,"Categorizar disciplinas (formativo, recreativo, competitivo)",20%,0%,18%,109,1,,5.28,5,0
20%,5. Inclusión y Discapacidad,26%,Fomentar el deporte paralímpico y crear talleres deportivos inclusivos.,Pendiente,23%,Pendiente,Ejecutar talleres deportivos inclusivos,40%,5%,23%,109,1,,5.29,5,0
20%,5. Inclusión y Discapacidad,26%,Fomentar el deporte paralímpico y crear talleres deportivos inclusivos.,Pendiente,23%,Pendiente,Evaluar talleres deportivos inclusivos,10%,0%,23%,109,1,,5.30,5,0
20%,6. Vivienda,32%,Creación de la Dirección de Vivienda.,Pendiente,5%,Pendiente,Levantamiento de necesidades por dirección para modificación del organigrama y del Reglamento Interno.,10%,5%,5%,109,1,1,6.1,6,0
20%,6. Vivienda,32%,Creación de la Dirección de Vivienda.,Pendiente,5%,Pendiente,Informe de la DAF de viabilidad financiera para modificaciones.,15%,0%,5%,109,1,,6.2,6,0
20%,6. Vivienda,32%,Creación de la Dirección de Vivienda.,Pendiente,5%,Pendiente,Aprobación de las modificaciones por parte del Alcalde.,15%,0%,5%,109,1,,6.3,6,0
20%,6. Vivienda,32%,Creación de la Dirección de Vivienda.,Pendiente,5%,Pendiente,"Ingreso de la propuesta al Concejo Municipal, discusión y modificaciones.",10%,0%,5%,109,1,,6.4,6,0
20%,6. Vivienda,32%,Creación de la Dirección de Vivienda.,Pendiente,5%,Pendiente,Aprobación del Concejo Municipal.,15%,0%,5%,109,1,,6.5,6,0
20%,6. Vivienda,32%,Creación de la Dirección de Vivienda.,Pendiente,5%,Pendiente,Decreto de las modificaciones y del reglamento interno,15%,0%,5%,109,1,,6.6,6,0
20%,6. Vivienda,32%,Creación de la Dirección de Vivienda.,Pendiente,5%,Pendiente,"Implementar Dirección, con modificaciones presupuestarias, destinación de personal y bienes muebles.",20%,0%,5%,109,1,,6.7,6,0
20%,6. Vivienda,32%,Levantar nuevos proyectos habitacionales con la Entidad de Gestión Inmobiliaria Social (EGIS) municipal.,Pendiente,60%,Pendiente,"Gestionar terrenos privados en la comuna, para desarrollar proyectos de vivienda social.",20%,20%,20%,109,1,1,6.8,6,0
20%,6. Vivienda,32%,Levantar nuevos proyectos habitacionales con la Entidad de Gestión Inmobiliaria Social (EGIS) municipal.,Pendiente,60%,Pendiente,Gestión familiar mediante el levantamiento diagnóstico de allegados organizados que cumplan requisitos de postulación a proyectos habitacionales.,30%,20%,40%,109,1,,6.9,6,0
20%,6. Vivienda,32%,Levantar nuevos proyectos habitacionales con la Entidad de Gestión Inmobiliaria Social (EGIS) municipal.,Pendiente,60%,Pendiente,Gestión de la factibilidad técnica de diseño de proyectos de vivienda social desarrollados por la Entidad Patrocinante municipal.,30%,20%,60%,109,1,,6.10,6,0
20%,6. Vivienda,32%,Levantar nuevos proyectos habitacionales con la Entidad de Gestión Inmobiliaria Social (EGIS) municipal.,Pendiente,60%,Pendiente,Construcción y entrega del proyectos habitacionales desarrollados por la Entidad Patrocinante municipal.,20%,0%,60%,109,1,,6.11,6,0
20%,6. Vivienda,32%,"Diseñar y postular proyectos de micro condominios, para avanzar en disminuir el déficit de vivienda.",Pendiente,20%,Pendiente,Catastrar cantidad de comités de allegados con los requisitos requeridos para postular a proyectos habitacionales ,10%,10%,10%,109,1,1,6.12,6,0
20%,6. Vivienda,32%,"Diseñar y postular proyectos de micro condominios, para avanzar en disminuir el déficit de vivienda.",Pendiente,20%,Pendiente,Actualizar base de datos de terrenos afectos a expropiación. ,10%,10%,20%,109,1,,6.13,6,0
20%,6. Vivienda,32%,"Diseñar y postular proyectos de micro condominios, para avanzar en disminuir el déficit de vivienda.",Pendiente,20%,Pendiente,Revisión de factibilidad técnica y económica de los terrenos ,20%,0%,20%,109,1,,6.14,6,0
20%,6. Vivienda,32%,"Diseñar y postular proyectos de micro condominios, para avanzar en disminuir el déficit de vivienda.",Pendiente,20%,Pendiente,Postulación a fondos externos ,20%,0%,20%,109,1,,6.15,6,0
20%,6. Vivienda,32%,"Diseñar y postular proyectos de micro condominios, para avanzar en disminuir el déficit de vivienda.",Pendiente,20%,Pendiente,Construcción de micro condominios en caso de factibilidad,30%,0%,20%,109,1,,6.16,6,0
20%,6. Vivienda,32%,"Diseñar y postular proyectos de micro condominios, para avanzar en disminuir el déficit de vivienda.",Pendiente,20%,Pendiente,Evaluación y seguimiento de los proyectos,10%,0%,20%,109,1,,6.17,6,0
20%,6. Vivienda,32%,Llegar al año 2026 con déficit 0 de allegados en la comuna,Pendiente,40%,Pendiente,Catastrar cantidad de comités de allegados vigentes en la comuna que cumplan con los requisitos requeridos para postular a proyectos habitacionales en San Joaquín.,25%,25%,25%,109,1,1,6.18,6,0
20%,6. Vivienda,32%,Llegar al año 2026 con déficit 0 de allegados en la comuna,Pendiente,40%,Pendiente,Derivar a las familias de los comités de allegados a las diferentes soluciones habitacionales de presenta la gestión municipal y oferta ministerial. ,25%,7%,32%,109,1,,6.19,6,0
20%,6. Vivienda,32%,Llegar al año 2026 con déficit 0 de allegados en la comuna,Pendiente,40%,Pendiente,Orientar y acompañar los procesos de postulación individual de subsidios habitacionales a los allegados de la comuna no organizados que acceden por demanda espontánea.,25%,8%,40%,109,1,,6.20,6,0
20%,6. Vivienda,32%,Llegar al año 2026 con déficit 0 de allegados en la comuna,Pendiente,40%,Pendiente,Ejecutar los proyectos de vivienda social postulados por la Entidad Patrocinantes hasta el año 2025,25%,0%,40%,109,1,,6.21,6,0
20%,6. Vivienda,32%,"Crear sistema de arriendo a precio justo, con enfoque en personas mayores que no cuentan con vivienda.",Pendiente,38%,Pendiente,Generar un Plan de Administración para condominio de Arriendo a Precio justo ,10%,10%,10%,109,1,1,6.22,6,0
20%,6. Vivienda,32%,"Crear sistema de arriendo a precio justo, con enfoque en personas mayores que no cuentan con vivienda.",Pendiente,38%,Pendiente,Generar un protocolo y ordenanza de gestión de casos críticos que podrán ingresar al proyecto. ,15%,10%,20%,109,1,,6.23,6,0
20%,6. Vivienda,32%,"Crear sistema de arriendo a precio justo, con enfoque en personas mayores que no cuentan con vivienda.",Pendiente,38%,Pendiente,Generar un Plan Presupuestario que permita la aplicación efectiva y sostenible del subsidio de arriendo para personas mayores,15%,8%,28%,109,1,,6.24,6,0
20%,6. Vivienda,32%,"Crear sistema de arriendo a precio justo, con enfoque en personas mayores que no cuentan con vivienda.",Pendiente,38%,Pendiente,Obtención de financiamiento externo (MINVU-SERVIU) para construcción del condominio,10%,10%,38%,109,1,,6.25,6,0
20%,6. Vivienda,32%,"Crear sistema de arriendo a precio justo, con enfoque en personas mayores que no cuentan con vivienda.",Pendiente,38%,Pendiente,"Compra de terreno, licitación y construcción de condominio para ser utilizado para sistema de arriendo a precio justo",25%,0%,38%,109,1,,6.26,6,0
20%,6. Vivienda,32%,"Crear sistema de arriendo a precio justo, con enfoque en personas mayores que no cuentan con vivienda.",Pendiente,38%,Pendiente,Catastrar personas mayores de la comuna y asignación de subsidio de arriendo a precio justo,25%,0%,38%,109,1,,6.27,6,0
20%,6. Vivienda,32%,Fortalecer el programa de asistencia de administración de condominios.,Pendiente,30%,Pendiente,"Establecer un protocolo de coordinación con cada dirección municipal involucrada, asegurando que cada departamento conozca su rol específico y los plazos de respuesta a las solicitudes.",10%,10%,10%,109,1,1,6.28,6,0
20%,6. Vivienda,32%,Fortalecer el programa de asistencia de administración de condominios.,Pendiente,30%,Pendiente,Crear mesas de trabajo entre Innova y las direcciones de la municipalidad para revisar de forma semanal las solicitudes.,20%,20%,30%,109,1,,6.29,6,0
20%,6. Vivienda,32%,Fortalecer el programa de asistencia de administración de condominios.,Pendiente,30%,Pendiente,Desarrollar un plan de comunicación y capacitación a los comités de administración,20%,0%,30%,109,1,,6.30,6,0
20%,6. Vivienda,32%,Fortalecer el programa de asistencia de administración de condominios.,Pendiente,30%,Pendiente,Asesorar a la administración de condominios sociales,20%,0%,30%,109,1,,6.31,6,0
20%,6. Vivienda,32%,Fortalecer el programa de asistencia de administración de condominios.,Pendiente,30%,Pendiente,Aumentar la cantidad de condominios sociales (por lo menos 2 más),20%,0%,30%,109,1,,6.32,6,0
20%,6. Vivienda,32%,Fortalecer el programa de asistencia de administración de condominios.,Pendiente,30%,Pendiente,Realizar por lo menos 1 presentación del programa en los territorios faltantes de la comuna,10%,0%,30%,109,1,,6.33,6,0
20%,7. Deporte,16%,"Aumentar talleres de diversas disciplinas deportivas (Ajedrez, atletismo, escaladas, gimnasia olímpica, handball, patín carrera, entre otros).",Pendiente,20%,Pendiente,Caracterización de territorios y barrios en función de las demandas de actividad física y deportiva,30%,20%,20%,109,1,1,7.1,7,0
20%,7. Deporte,16%,"Aumentar talleres de diversas disciplinas deportivas (Ajedrez, atletismo, escaladas, gimnasia olímpica, handball, patín carrera, entre otros).",Pendiente,20%,Pendiente,Definir disciplinas no tradicionales de acuerdo a la caracterización,10%,0%,20%,109,1,,7.2,7,0
20%,7. Deporte,16%,"Aumentar talleres de diversas disciplinas deportivas (Ajedrez, atletismo, escaladas, gimnasia olímpica, handball, patín carrera, entre otros).",Pendiente,20%,Pendiente,"Diseño estratégico de talleres (objetivos, relato, metas)",10%,0%,20%,109,1,,7.3,7,0
20%,7. Deporte,16%,"Aumentar talleres de diversas disciplinas deportivas (Ajedrez, atletismo, escaladas, gimnasia olímpica, handball, patín carrera, entre otros).",Pendiente,20%,Pendiente,Identificación de monitores y/o profesores pertinentes a cada área,10%,0%,20%,109,1,,7.4,7,0
20%,7. Deporte,16%,"Aumentar talleres de diversas disciplinas deportivas (Ajedrez, atletismo, escaladas, gimnasia olímpica, handball, patín carrera, entre otros).",Pendiente,20%,Pendiente,Implementación de los talleres,30%,0%,20%,109,1,,7.5,7,0
20%,7. Deporte,16%,"Aumentar talleres de diversas disciplinas deportivas (Ajedrez, atletismo, escaladas, gimnasia olímpica, handball, patín carrera, entre otros).",Pendiente,20%,Pendiente,Evaluación de los talleres,10%,0%,20%,109,1,,7.6,7,0
20%,7. Deporte,16%,Aumentar intervenciones deportivas en cada barrio.,Pendiente,17%,Pendiente,Caracterización de territorios en función de la actividad física y deportiva,20%,8%,8%,109,1,1,7.7,7,0
20%,7. Deporte,16%,Aumentar intervenciones deportivas en cada barrio.,Pendiente,17%,Pendiente,Identificación de espacios adecuados para el desarrollo de la actividad física y deportiva,20%,8%,16%,109,1,,7.8,7,0
20%,7. Deporte,16%,Aumentar intervenciones deportivas en cada barrio.,Pendiente,17%,Pendiente,Detección de colaboradores barriales,5%,1%,17%,109,1,,7.9,7,0
20%,7. Deporte,16%,Aumentar intervenciones deportivas en cada barrio.,Pendiente,17%,Pendiente,"Diseño de actividades territoriales. Definir actividad física y/o deportiva y categoría (formativa, recreativo o competitivo)",20%,0%,17%,109,1,,7.10,7,0
20%,7. Deporte,16%,Aumentar intervenciones deportivas en cada barrio.,Pendiente,17%,Pendiente,Logística,5%,0%,17%,109,1,,7.11,7,0
20%,7. Deporte,16%,Aumentar intervenciones deportivas en cada barrio.,Pendiente,17%,Pendiente,Ejecución de actividades territoriales,20%,0%,17%,109,1,,7.12,7,0
20%,7. Deporte,16%,Aumentar intervenciones deportivas en cada barrio.,Pendiente,17%,Pendiente,Evaluación de las actividades realizadas en los territorios,10%,0%,17%,109,1,,7.13,7,0
20%,7. Deporte,16%,Realizar anualmente torneos de talleres deportivos comunales de diversas disciplinas deportivas.,Pendiente,10%,Pendiente,Caracterizar disciplinas,10%,5%,5%,109,1,1,7.14,7,0
20%,7. Deporte,16%,Realizar anualmente torneos de talleres deportivos comunales de diversas disciplinas deportivas.,Pendiente,10%,Pendiente,"Categorizar disciplinas (formativo, recreativo, competitivo)",10%,5%,10%,109,1,,7.15,7,0
20%,7. Deporte,16%,Realizar anualmente torneos de talleres deportivos comunales de diversas disciplinas deportivas.,Pendiente,10%,Pendiente,"Diseñar estratégicamente los torneos deportivos (objetivos, relato, metas)",10%,0%,10%,109,1,,7.16,7,0
20%,7. Deporte,16%,Realizar anualmente torneos de talleres deportivos comunales de diversas disciplinas deportivas.,Pendiente,10%,Pendiente,Coordinar fechas y logística para ejecución de torneos deportivos definidos,10%,0%,10%,109,1,,7.17,7,0
20%,7. Deporte,16%,Realizar anualmente torneos de talleres deportivos comunales de diversas disciplinas deportivas.,Pendiente,10%,Pendiente,Ejecución de torneos deportivos,50%,0%,10%,109,1,,7.18,7,0
20%,7. Deporte,16%,Realizar anualmente torneos de talleres deportivos comunales de diversas disciplinas deportivas.,Pendiente,10%,Pendiente,Evaluación de torneos deportivos,10%,0%,10%,109,1,,7.19,7,0
20%,7. Deporte,16%,Creación de fondo público-privado para fomento de talleres.,Pendiente,21%,Pendiente,"Gestionar ley de donaciones: revisar estatutos, SII, inscripción en plataforma.",20%,10%,10%,109,1,1,7.20,7,0
20%,7. Deporte,16%,Creación de fondo público-privado para fomento de talleres.,Pendiente,21%,Pendiente,Detectar instituciones privadas para realizar convenios,20%,6%,16%,109,1,,7.21,7,0
20%,7. Deporte,16%,Creación de fondo público-privado para fomento de talleres.,Pendiente,21%,Pendiente,Gestionar recursos con Gobierno Central y Gobierno Regional,20%,5%,21%,109,1,,7.22,7,0
20%,7. Deporte,16%,Creación de fondo público-privado para fomento de talleres.,Pendiente,21%,Pendiente,Gestionar recursos con instituciones privadas,20%,0%,21%,109,1,,7.23,7,0
20%,7. Deporte,16%,Creación de fondo público-privado para fomento de talleres.,Pendiente,21%,Pendiente,Implementación del fondo público-privado para el fomento de talleres,20%,0%,21%,109,1,,7.24,7,0
20%,7. Deporte,16%,Crear las primeras Olimpiadas intercomunales en San Joaquín.,Pendiente,3%,Pendiente,Generar vínculos con comunas aledañas,10%,3%,3%,109,1,1,7.25,7,0
20%,7. Deporte,16%,Crear las primeras Olimpiadas intercomunales en San Joaquín.,Pendiente,3%,Pendiente,Construir propuesta de olimpiadas intercomunales,10%,0%,3%,109,1,,7.26,7,0
20%,7. Deporte,16%,Crear las primeras Olimpiadas intercomunales en San Joaquín.,Pendiente,3%,Pendiente,Presentar propuesta a comunas aledañas,10%,0%,3%,109,1,,7.27,7,0
20%,7. Deporte,16%,Crear las primeras Olimpiadas intercomunales en San Joaquín.,Pendiente,3%,Pendiente,Diseñar olimpiadas intercomunales,15%,0%,3%,109,1,,7.28,7,0
20%,7. Deporte,16%,Crear las primeras Olimpiadas intercomunales en San Joaquín.,Pendiente,3%,Pendiente,Logística,15%,0%,3%,109,1,,7.29,7,0
20%,7. Deporte,16%,Crear las primeras Olimpiadas intercomunales en San Joaquín.,Pendiente,3%,Pendiente,Ejecución olimpiadas intercomunales,30%,0%,3%,109,1,,7.30,7,0
20%,7. Deporte,16%,Crear las primeras Olimpiadas intercomunales en San Joaquín.,Pendiente,3%,Pendiente,Evaluación olimpiadas intercomunales,10%,0%,3%,109,1,,7.31,7,0
20%,7. Deporte,16%,Aumentar capacitación en fondos concursables.,Pendiente,48%,Pendiente,Construir calendario de fondos concursables,10%,10%,10%,109,1,1,7.32,7,0
20%,7. Deporte,16%,Aumentar capacitación en fondos concursables.,Pendiente,48%,Pendiente,Contactar organizaciones deportivas,10%,10%,20%,109,1,,7.33,7,0
20%,7. Deporte,16%,Aumentar capacitación en fondos concursables.,Pendiente,48%,Pendiente,"Coordinar jornadas de capacitación, asesorando a clubes deportivos para que puedan postular a financiamiento externo",10%,5%,25%,109,1,,7.34,7,0
20%,7. Deporte,16%,Aumentar capacitación en fondos concursables.,Pendiente,48%,Pendiente,Ejecutar jornadas de capacitación,40%,20%,45%,109,1,,7.35,7,0
20%,7. Deporte,16%,Aumentar capacitación en fondos concursables.,Pendiente,48%,Pendiente,Ejecutar jornadas de postulación,10%,3%,48%,109,1,,7.36,7,0
20%,7. Deporte,16%,Aumentar capacitación en fondos concursables.,Pendiente,48%,Pendiente,Evaluar jornadas de rendición,10%,0%,48%,109,1,,7.37,7,0
20%,7. Deporte,16%,Aumentar capacitación en fondos concursables.,Pendiente,48%,Pendiente,Evaluar jornadas de capacitación,10%,0%,48%,109,1,,7.38,7,0
20%,7. Deporte,16%,"Promover los equipos de natación, voleibol, tenis de mesa y básquetbol para la alta competencia.",Pendiente,0%,Pendiente,Caracterizar disciplinas,25%,0%,0%,109,1,1,7.39,7,0
20%,7. Deporte,16%,"Promover los equipos de natación, voleibol, tenis de mesa y básquetbol para la alta competencia.",Pendiente,0%,Pendiente,"Categorizar disciplinas (formativo, recreativo, competitivo)",25%,0%,0%,109,1,,7.40,7,0
20%,7. Deporte,16%,"Promover los equipos de natación, voleibol, tenis de mesa y básquetbol para la alta competencia.",Pendiente,0%,Pendiente,Evaluar viabilidad de alta competencia,25%,0%,0%,109,1,,7.41,7,0
20%,7. Deporte,16%,"Promover los equipos de natación, voleibol, tenis de mesa y básquetbol para la alta competencia.",Pendiente,0%,Pendiente,Planificar disciplinas viables para la alta competencia,25%,0%,0%,109,1,,7.42,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,Levantar un catastro de todas las canchas existentes en la comuna.,5%,2%,2%,109,1,1,7.43,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,Definir fases y lotes de intervención según financiamiento y factibilidad.,10%,3%,5%,109,1,,7.44,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,Elaborar los proyectos técnicos para la construcción de techumbres en las canchas priorizadas.,15%,7%,12%,109,1,,7.45,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,Gestionar recursos y postular proyectos a financiamiento externo.,20%,5%,17%,109,1,,7.46,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,Admisibilidad del proyecto,5%,0%,17%,109,1,,7.47,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,Asignación de recursos,5%,1%,18%,109,1,,7.48,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,Elaborar y publicar bases administrativas para la ejecución de las techumbres.,15%,0%,18%,109,1,,7.49,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,Adjudicación de la licitación para la ejecución de las techumbres.,15%,0%,18%,109,1,,7.50,7,0
20%,7. Deporte,16%,Techar todas las canchas de la comuna.,Pendiente,18%,Pendiente,"Instalación, ejecución y recepción de obras.",10%,0%,18%,109,1,,7.51,7,0
20%,7. Deporte,16%,Proyecto de centro polideportivo Parque Víctor Jara.,Pendiente,6%,Pendiente,Diseño de la etapa 5 del Parque Víctor Jara,20%,6%,6%,109,1,1,7.52,7,0
20%,7. Deporte,16%,Proyecto de centro polideportivo Parque Víctor Jara.,Pendiente,6%,Pendiente,Postulación y adjudicación de financiamiento del Ministerio de Obras Públicas,10%,0%,6%,109,1,,7.53,7,0
20%,7. Deporte,16%,Proyecto de centro polideportivo Parque Víctor Jara.,Pendiente,6%,Pendiente,Permiso de Edificación,5%,0%,6%,109,1,,7.54,7,0
20%,7. Deporte,16%,Proyecto de centro polideportivo Parque Víctor Jara.,Pendiente,6%,Pendiente,Licitación del proyecto,5%,0%,6%,109,1,,7.55,7,0
20%,7. Deporte,16%,Proyecto de centro polideportivo Parque Víctor Jara.,Pendiente,6%,Pendiente,Ejecución de las obras,40%,0%,6%,109,1,,7.56,7,0
20%,7. Deporte,16%,Proyecto de centro polideportivo Parque Víctor Jara.,Pendiente,6%,Pendiente,Recepcion de las obras,10%,0%,6%,109,1,,7.57,7,0
20%,7. Deporte,16%,Proyecto de centro polideportivo Parque Víctor Jara.,Pendiente,6%,Pendiente,Puesta en marcha del recinto,10%,0%,6%,109,1,,7.58,7,0
20%,8. Cultura,28%,Extensión del programa cultura en tu barrio.,Pendiente,30%,Pendiente,Planificación y diseño de la estrategia para el desarrollo de encuentros artísticos territoriales.,5%,5%,5%,109,1,1,8.1,8,0
20%,8. Cultura,28%,Extensión del programa cultura en tu barrio.,Pendiente,30%,Pendiente,Planificación y diseño de la programación cultural en el territorio.,5%,5%,10%,109,1,,8.2,8,0
20%,8. Cultura,28%,Extensión del programa cultura en tu barrio.,Pendiente,30%,Pendiente,Activación de mesas territoriales de acuerdo a la estrategia diseñada.,20%,10%,20%,109,1,,8.3,8,0
20%,8. Cultura,28%,Extensión del programa cultura en tu barrio.,Pendiente,30%,Pendiente,Ejecución de la programación cultural en el territorio.,25%,5%,25%,109,1,,8.4,8,0
20%,8. Cultura,28%,Extensión del programa cultura en tu barrio.,Pendiente,30%,Pendiente,Ejecución de los encuentros artísticos en todos los territorios en coordinación con organizaciones culturales y juntas de vecino de la comuna,25%,5%,30%,109,1,,8.5,8,0
20%,8. Cultura,28%,Extensión del programa cultura en tu barrio.,Pendiente,30%,Pendiente,Evaluación de la programación cultural y encuentros artísticos desarrollados,10%,0%,30%,109,1,,8.6,8,0
20%,8. Cultura,28%,Extensión del programa cultura en tu barrio.,Pendiente,30%,Pendiente,Aumento de talleres en centro cultural y territorios,10%,0%,30%,109,1,,8.7,8,0
20%,8. Cultura,28%,Ampliar el proyecto de Museo a Cielo Abierto.,Pendiente,30%,Pendiente,"Re evaluación de tasación comercial de terreno, determinado por parte de la Dirección de Obras Municipales.",10%,10%,10%,109,1,1,8.8,8,0
20%,8. Cultura,28%,Ampliar el proyecto de Museo a Cielo Abierto.,Pendiente,30%,Pendiente,Definición de necesidades para levantamiento de proyecto de arquitectura.,10%,10%,20%,109,1,,8.9,8,0
20%,8. Cultura,28%,Ampliar el proyecto de Museo a Cielo Abierto.,Pendiente,30%,Pendiente,Generación de cronograma de trabajo.,10%,10%,30%,109,1,,8.10,8,0
20%,8. Cultura,28%,Ampliar el proyecto de Museo a Cielo Abierto.,Pendiente,30%,Pendiente,Definición de modelo de operación y financiamiento.,10%,0%,30%,109,1,,8.11,8,0
20%,8. Cultura,28%,Ampliar el proyecto de Museo a Cielo Abierto.,Pendiente,30%,Pendiente,Definición de habilitación e implementación.,10%,0%,30%,109,1,,8.12,8,0
